name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Cashin,DEF,Brighton,0.0,0,0,0,0,0.0,154,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.0,0,0.0,0,-5,0,5,4.0,False,0,7
Slater,DEF,Brighton,0.0,0,0,0,0,0.0,155,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.1,0,0.0,0,-174,0,174,4.0,False,0,7
Tasker,DEF,Brighton,0.0,0,0,0,0,0.0,156,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.1,0,0.0,0,-74,80,154,3.9,False,0,7
Mitoma,MID,Brighton,0.0,0,0,0,0,0.0,157,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,3.1,0,0.0,0,-10821,293,11114,6.3,False,0,7
Georginio,MID,Brighton,0.0,0,0,1,0,0.8,158,0.0,0.0,0.0,0.0,70,0,0,2.9,2.0,2025-10-05T13:00:00Z,45,20,0,0,0,0,7,0,0.4,0,26.0,1,911,1303,392,5.7,False,0,7
March,MID,Brighton,0.0,0,0,0,0,0.0,159,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.0,0,0.0,0,-4,5,9,5.8,False,0,7
Minteh,MID,Brighton,0.0,0,0,17,0,62.3,160,0.0,0.0,0.0,0.0,70,1,0,9.4,26.8,2025-10-05T13:00:00Z,90,20,0,0,0,0,7,0,3.6,1,5.0,2,1492,10157,8665,6.0,False,0,7
Enciso,MID,Brighton,0.0,0,0,0,0,0.0,161,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.0,0,0.0,0,-8,0,8,5.4,False,0,7
Gruda,MID,Brighton,0.0,0,0,6,0,18.3,162,0.0,0.0,0.0,0.0,70,1,0,7.4,11.6,2025-10-05T13:00:00Z,69,20,0,0,0,0,7,0,0.1,1,44.0,2,-560,6,566,5.4,False,0,7
Hinshelwood,MID,Brighton,0.0,0,0,0,0,0.0,163,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.0,0,0.0,0,-47,0,47,5.2,False,0,7
O'Riley,MID,Brighton,0.0,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.4,0,0.0,0,-619,0,619,5.5,False,0,7
Sima,MID,Brighton,0.0,0,0,0,0,0.0,165,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,20,0,0,0,0,7,0,0.0,0,0.0,0,-6,0,6,5.4,False,0,7
Ayari,MID,Brighton,0.0,0,0,18,0,23.8,166,0.0,0.0,0.0,0.0,70,1,0,3.9,13.6,2025-10-05T13:00:00Z,90,20,0,0,0,0,7,0,0.3,1,2.0,2,245,1012,767,4.9,False,0,7
Baleba,MID,Brighton,0.0,0,0,7,0,0.9,167,0.0,0.0,0.0,0.0,70,1,0,0.7,5.6,2025-10-05T13:00:00Z,45,20,0,0,0,0,7,0,2.2,0,0.0,0,-1049,1925,2974,4.8,False,1,7
Buonanotte,MID,Chelsea,0.0,0,0,0,0,0.0,168,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,12,0,0,0,0,7,0,0.1,0,0.0,0,-145,57,202,4.8,True,0,7
